CompetencyID,Competency,BlockID,BlockName
C001,"[Modélisation de Données] modélisation dimensionnelle (kimball, star schema)",bloc_1,Architecture Data & Modélisation (Data Marts)
C002,"[Modélisation de Données] data vault modeling (hubs, links, satellites)",bloc_1,Architecture Data & Modélisation (Data Marts)
C003,"[Modélisation de Données] gestion des scd (slowly changing dimensions type 1, 2, 3, 4)",bloc_1,Architecture Data & Modélisation (Data Marts)
C004,"[Modélisation de Données] conception de modèles conceptuels et logiques (mcd, mld)",bloc_1,Architecture Data & Modélisation (Data Marts)
C005,"[Modélisation de Données] normalisation de base de données (3nf, bcnf)",bloc_1,Architecture Data & Modélisation (Data Marts)
C006,"[Modélisation de Données] modélisation one big table (obt) pour l'analytique",bloc_1,Architecture Data & Modélisation (Data Marts)
C007,"[Modélisation de Données] conception de schémas en flocon (snowflake schema)",bloc_1,Architecture Data & Modélisation (Data Marts)
C008,"[Modélisation de Données] gestion des clés techniques (surrogate keys) et métier",bloc_1,Architecture Data & Modélisation (Data Marts)
C009,"[Modern Data Stack & ELT] transformations elt avec dbt core et dbt cloud",bloc_1,Architecture Data & Modélisation (Data Marts)
C010,"[Modern Data Stack & ELT] développement de macros et packages dbt",bloc_1,Architecture Data & Modélisation (Data Marts)
C011,"[Modern Data Stack & ELT] orchestration de workflows avec apache airflow",bloc_1,Architecture Data & Modélisation (Data Marts)
C012,"[Modern Data Stack & ELT] orchestration moderne avec dagster (assets) ou prefect",bloc_1,Architecture Data & Modélisation (Data Marts)
C013,"[Modern Data Stack & ELT] ingestion de données avec fivetran ou airbyte",bloc_1,Architecture Data & Modélisation (Data Marts)
C014,"[Modern Data Stack & ELT] développement de connecteurs d'ingestion custom (python)",bloc_1,Architecture Data & Modélisation (Data Marts)
C015,"[Modern Data Stack & ELT] sql analytique avancé (window functions, ctes, recursive ctes)",bloc_1,Architecture Data & Modélisation (Data Marts)
C016,"[Modern Data Stack & ELT] optimisation des requêtes sql (explain plans, indexing)",bloc_1,Architecture Data & Modélisation (Data Marts)
C017,"[Modern Data Stack & ELT] gestion des dépendances de données",bloc_1,Architecture Data & Modélisation (Data Marts)
